OriginalFile,ProcessedFile,Status,Message
fundus_images\1084_left.jpg,processed_images_training\1084_left_processed.png,Success,
fundus_images\1084_right.jpg,processed_images_training\1084_right_processed.png,Success,
fundus_images\1085_left.jpg,processed_images_training\1085_left_processed.png,Success,
fundus_images\1085_right.jpg,processed_images_training\1085_right_processed.png,Success,
fundus_images\1086_left.jpg,processed_images_training\1086_left_processed.png,Success,
fundus_images\1086_right.jpg,processed_images_training\1086_right_processed.png,Success,
fundus_images\1089_left.jpg,processed_images_training\1089_left_processed.png,Success,
fundus_images\108_right.jpg,processed_images_training\108_right_processed.png,Success,
fundus_images\1090_left.jpg,processed_images_training\1090_left_processed.png,Success,
fundus_images\1090_right.jpg,processed_images_training\1090_right_processed.png,Success,
fundus_images\1091_left.jpg,processed_images_training\1091_left_processed.png,Success,
fundus_images\1091_right.jpg,processed_images_training\1091_right_processed.png,Success,
fundus_images\1092_left.jpg,processed_images_training\1092_left_processed.png,Success,
fundus_images\1092_right.jpg,processed_images_training\1092_right_processed.png,Success,
fundus_images\1093_left.jpg,processed_images_training\1093_left_processed.png,Success,
fundus_images\1093_right.jpg,processed_images_training\1093_right_processed.png,Success,
fundus_images\1094_left.jpg,processed_images_training\1094_left_processed.png,Success,
fundus_images\1094_right.jpg,processed_images_training\1094_right_processed.png,Success,
fundus_images\1095_left.jpg,processed_images_training\1095_left_processed.png,Success,
fundus_images\1096_left.jpg,processed_images_training\1096_left_processed.png,Success,
fundus_images\1097_left.jpg,processed_images_training\1097_left_processed.png,Success,
fundus_images\1097_right.jpg,processed_images_training\1097_right_processed.png,Success,
fundus_images\1098_left.jpg,processed_images_training\1098_left_processed.png,Success,
fundus_images\1098_right.jpg,processed_images_training\1098_right_processed.png,Success,
fundus_images\1099_left.jpg,processed_images_training\1099_left_processed.png,Success,
fundus_images\1099_right.jpg,processed_images_training\1099_right_processed.png,Success,
fundus_images\10_left.jpg,processed_images_training\10_left_processed.png,Success,
fundus_images\10_right.jpg,processed_images_training\10_right_processed.png,Success,
fundus_images\1102_left.jpg,processed_images_training\1102_left_processed.png,Success,
fundus_images\1102_right.jpg,processed_images_training\1102_right_processed.png,Success,
fundus_images\1103_left.jpg,processed_images_training\1103_left_processed.png,Success,
fundus_images\1103_right.jpg,processed_images_training\1103_right_processed.png,Success,
fundus_images\1104_left.jpg,processed_images_training\1104_left_processed.png,Success,
fundus_images\1104_right.jpg,processed_images_training\1104_right_processed.png,Success,
fundus_images\1106_left.jpg,processed_images_training\1106_left_processed.png,Success,
fundus_images\1106_right.jpg,processed_images_training\1106_right_processed.png,Success,
fundus_images\1109_left.jpg,processed_images_training\1109_left_processed.png,Success,
fundus_images\1109_right.jpg,processed_images_training\1109_right_processed.png,Success,
fundus_images\110_left.jpg,processed_images_training\110_left_processed.png,Success,
fundus_images\110_right.jpg,processed_images_training\110_right_processed.png,Success,
fundus_images\1111_left.jpg,processed_images_training\1111_left_processed.png,Success,
fundus_images\1111_right.jpg,processed_images_training\1111_right_processed.png,Success,
fundus_images\1113_left.jpg,processed_images_training\1113_left_processed.png,Success,
fundus_images\1113_right.jpg,processed_images_training\1113_right_processed.png,Success,
fundus_images\1114_left.jpg,processed_images_training\1114_left_processed.png,Success,
fundus_images\1114_right.jpg,processed_images_training\1114_right_processed.png,Success,
fundus_images\1115_left.jpg,processed_images_training\1115_left_processed.png,Success,
fundus_images\1115_right.jpg,processed_images_training\1115_right_processed.png,Success,
fundus_images\1116_right.jpg,processed_images_training\1116_right_processed.png,Success,
fundus_images\1117_left.jpg,processed_images_training\1117_left_processed.png,Success,
fundus_images\1117_right.jpg,processed_images_training\1117_right_processed.png,Success,
fundus_images\1118_left.jpg,processed_images_training\1118_left_processed.png,Success,
fundus_images\1118_right.jpg,processed_images_training\1118_right_processed.png,Success,
fundus_images\1119_left.jpg,processed_images_training\1119_left_processed.png,Success,
fundus_images\1119_right.jpg,processed_images_training\1119_right_processed.png,Success,
fundus_images\111_left.jpg,processed_images_training\111_left_processed.png,Success,
fundus_images\111_right.jpg,processed_images_training\111_right_processed.png,Success,
fundus_images\1120_left.jpg,processed_images_training\1120_left_processed.png,Success,
fundus_images\1120_right.jpg,processed_images_training\1120_right_processed.png,Success,
fundus_images\1121_right.jpg,processed_images_training\1121_right_processed.png,Success,
fundus_images\1122_left.jpg,processed_images_training\1122_left_processed.png,Success,
fundus_images\1122_right.jpg,processed_images_training\1122_right_processed.png,Success,
fundus_images\1123_left.jpg,processed_images_training\1123_left_processed.png,Success,
fundus_images\1124_left.jpg,processed_images_training\1124_left_processed.png,Success,
fundus_images\1124_right.jpg,processed_images_training\1124_right_processed.png,Success,
fundus_images\1125_left.jpg,processed_images_training\1125_left_processed.png,Success,
fundus_images\1125_right.jpg,processed_images_training\1125_right_processed.png,Success,
fundus_images\1126_left.jpg,processed_images_training\1126_left_processed.png,Success,
fundus_images\1126_right.jpg,processed_images_training\1126_right_processed.png,Success,
fundus_images\1127_right.jpg,processed_images_training\1127_right_processed.png,Success,
fundus_images\1129_left.jpg,processed_images_training\1129_left_processed.png,Success,
fundus_images\1129_right.jpg,processed_images_training\1129_right_processed.png,Success,
fundus_images\112_left.jpg,processed_images_training\112_left_processed.png,Success,
fundus_images\112_right.jpg,processed_images_training\112_right_processed.png,Success,
fundus_images\1130_right.jpg,processed_images_training\1130_right_processed.png,Success,
fundus_images\1132_left.jpg,processed_images_training\1132_left_processed.png,Success,
fundus_images\1132_right.jpg,processed_images_training\1132_right_processed.png,Success,
fundus_images\1133_left.jpg,processed_images_training\1133_left_processed.png,Success,
fundus_images\1133_right.jpg,processed_images_training\1133_right_processed.png,Success,
fundus_images\1136_left.jpg,processed_images_training\1136_left_processed.png,Success,
fundus_images\1136_right.jpg,processed_images_training\1136_right_processed.png,Success,
fundus_images\1137_left.jpg,processed_images_training\1137_left_processed.png,Success,
fundus_images\1138_left.jpg,processed_images_training\1138_left_processed.png,Success,
fundus_images\1138_right.jpg,processed_images_training\1138_right_processed.png,Success,
fundus_images\113_left.jpg,processed_images_training\113_left_processed.png,Success,
fundus_images\113_right.jpg,processed_images_training\113_right_processed.png,Success,
fundus_images\1142_right.jpg,processed_images_training\1142_right_processed.png,Success,
fundus_images\1143_left.jpg,processed_images_training\1143_left_processed.png,Success,
fundus_images\1143_right.jpg,processed_images_training\1143_right_processed.png,Success,
fundus_images\1144_left.jpg,processed_images_training\1144_left_processed.png,Success,
fundus_images\1144_right.jpg,processed_images_training\1144_right_processed.png,Success,
fundus_images\1145_right.jpg,processed_images_training\1145_right_processed.png,Success,
fundus_images\1146_left.jpg,processed_images_training\1146_left_processed.png,Success,
fundus_images\1146_right.jpg,processed_images_training\1146_right_processed.png,Success,
fundus_images\1147_left.jpg,processed_images_training\1147_left_processed.png,Success,
fundus_images\1147_right.jpg,processed_images_training\1147_right_processed.png,Success,
fundus_images\1148_right.jpg,processed_images_training\1148_right_processed.png,Success,
fundus_images\114_right.jpg,processed_images_training\114_right_processed.png,Success,
fundus_images\1150_left.jpg,processed_images_training\1150_left_processed.png,Success,
fundus_images\1150_right.jpg,processed_images_training\1150_right_processed.png,Success,
fundus_images\1151_left.jpg,processed_images_training\1151_left_processed.png,Success,
fundus_images\1151_right.jpg,processed_images_training\1151_right_processed.png,Success,
fundus_images\1152_left.jpg,processed_images_training\1152_left_processed.png,Success,
fundus_images\1152_right.jpg,processed_images_training\1152_right_processed.png,Success,
fundus_images\1153_left.jpg,processed_images_training\1153_left_processed.png,Success,
fundus_images\1153_right.jpg,processed_images_training\1153_right_processed.png,Success,
fundus_images\1154_left.jpg,processed_images_training\1154_left_processed.png,Success,
fundus_images\1154_right.jpg,processed_images_training\1154_right_processed.png,Success,
fundus_images\1156_left.jpg,processed_images_training\1156_left_processed.png,Success,
fundus_images\1157_left.jpg,processed_images_training\1157_left_processed.png,Success,
fundus_images\1157_right.jpg,processed_images_training\1157_right_processed.png,Success,
fundus_images\115_left.jpg,processed_images_training\115_left_processed.png,Success,
fundus_images\115_right.jpg,processed_images_training\115_right_processed.png,Success,
fundus_images\1160_left.jpg,processed_images_training\1160_left_processed.png,Success,
fundus_images\1160_right.jpg,processed_images_training\1160_right_processed.png,Success,
fundus_images\1162_left.jpg,processed_images_training\1162_left_processed.png,Success,
fundus_images\1164_left.jpg,processed_images_training\1164_left_processed.png,Success,
fundus_images\1164_right.jpg,processed_images_training\1164_right_processed.png,Success,
fundus_images\1165_left.jpg,processed_images_training\1165_left_processed.png,Success,
fundus_images\1165_right.jpg,processed_images_training\1165_right_processed.png,Success,
fundus_images\1166_left.jpg,processed_images_training\1166_left_processed.png,Success,
fundus_images\1166_right.jpg,processed_images_training\1166_right_processed.png,Success,
fundus_images\1167_left.jpg,processed_images_training\1167_left_processed.png,Success,
fundus_images\1167_right.jpg,processed_images_training\1167_right_processed.png,Success,
fundus_images\1168_left.jpg,processed_images_training\1168_left_processed.png,Success,
fundus_images\1168_right.jpg,processed_images_training\1168_right_processed.png,Success,
fundus_images\1169_left.jpg,processed_images_training\1169_left_processed.png,Success,
fundus_images\1169_right.jpg,processed_images_training\1169_right_processed.png,Success,
fundus_images\116_left.jpg,processed_images_training\116_left_processed.png,Success,
fundus_images\116_right.jpg,processed_images_training\116_right_processed.png,Success,
fundus_images\1170_left.jpg,processed_images_training\1170_left_processed.png,Success,
fundus_images\1170_right.jpg,processed_images_training\1170_right_processed.png,Success,
fundus_images\1171_left.jpg,processed_images_training\1171_left_processed.png,Success,
fundus_images\1171_right.jpg,processed_images_training\1171_right_processed.png,Success,
fundus_images\1172_left(1).jpg,processed_images_training\1172_left(1)_processed.png,Success,
fundus_images\1172_left.jpg,processed_images_training\1172_left_processed.png,Success,
fundus_images\1172_right.jpg,processed_images_training\1172_right_processed.png,Success,
fundus_images\1173_left.jpg,processed_images_training\1173_left_processed.png,Success,
fundus_images\1173_right.jpg,processed_images_training\1173_right_processed.png,Success,
fundus_images\1174_left.jpg,processed_images_training\1174_left_processed.png,Success,
fundus_images\1174_right.jpg,processed_images_training\1174_right_processed.png,Success,
fundus_images\1176_left.jpg,processed_images_training\1176_left_processed.png,Success,
fundus_images\1176_right.jpg,processed_images_training\1176_right_processed.png,Success,
fundus_images\1177_right(1).jpg,processed_images_training\1177_right(1)_processed.png,Success,
fundus_images\1177_right.jpg,processed_images_training\1177_right_processed.png,Success,
fundus_images\117_left(1).jpg,processed_images_training\117_left(1)_processed.png,Success,
fundus_images\117_left.jpg,processed_images_training\117_left_processed.png,Success,
fundus_images\117_right(1).jpg,processed_images_training\117_right(1)_processed.png,Success,
fundus_images\117_right.jpg,processed_images_training\117_right_processed.png,Success,
fundus_images\1186_left(1).jpg,processed_images_training\1186_left(1)_processed.png,Success,
fundus_images\1186_left.jpg,processed_images_training\1186_left_processed.png,Success,
fundus_images\1186_right(1).jpg,processed_images_training\1186_right(1)_processed.png,Success,
fundus_images\1186_right.jpg,processed_images_training\1186_right_processed.png,Success,
fundus_images\118_left(1).jpg,processed_images_training\118_left(1)_processed.png,Success,
fundus_images\118_left.jpg,processed_images_training\118_left_processed.png,Success,
fundus_images\118_right(1).jpg,processed_images_training\118_right(1)_processed.png,Success,
fundus_images\118_right.jpg,processed_images_training\118_right_processed.png,Success,
fundus_images\1191_left(1).jpg,processed_images_training\1191_left(1)_processed.png,Success,
fundus_images\1191_left.jpg,processed_images_training\1191_left_processed.png,Success,
fundus_images\1191_right(1).jpg,processed_images_training\1191_right(1)_processed.png,Success,
fundus_images\1191_right.jpg,processed_images_training\1191_right_processed.png,Success,
fundus_images\1195_left(1).jpg,processed_images_training\1195_left(1)_processed.png,Success,
fundus_images\1195_left.jpg,processed_images_training\1195_left_processed.png,Success,
fundus_images\1195_right(1).jpg,processed_images_training\1195_right(1)_processed.png,Success,
fundus_images\1195_right.jpg,processed_images_training\1195_right_processed.png,Success,
fundus_images\1196_left(1).jpg,processed_images_training\1196_left(1)_processed.png,Success,
fundus_images\1196_left.jpg,processed_images_training\1196_left_processed.png,Success,
fundus_images\1196_right(1).jpg,processed_images_training\1196_right(1)_processed.png,Success,
fundus_images\1196_right.jpg,processed_images_training\1196_right_processed.png,Success,
fundus_images\1197_left.jpg,processed_images_training\1197_left_processed.png,Success,
fundus_images\1197_right.jpg,processed_images_training\1197_right_processed.png,Success,
fundus_images\1198_left.jpg,processed_images_training\1198_left_processed.png,Success,
fundus_images\1198_right.jpg,processed_images_training\1198_right_processed.png,Success,
fundus_images\119_left.jpg,processed_images_training\119_left_processed.png,Success,
fundus_images\119_right.jpg,processed_images_training\119_right_processed.png,Success,
fundus_images\11_left.jpg,processed_images_training\11_left_processed.png,Success,
fundus_images\11_right.jpg,processed_images_training\11_right_processed.png,Success,
fundus_images\1200_left.jpg,processed_images_training\1200_left_processed.png,Success,
fundus_images\1200_right.jpg,processed_images_training\1200_right_processed.png,Success,
fundus_images\1202_left.jpg,processed_images_training\1202_left_processed.png,Success,
fundus_images\1202_right.jpg,processed_images_training\1202_right_processed.png,Success,
fundus_images\1205_left.jpg,processed_images_training\1205_left_processed.png,Success,
fundus_images\1205_right.jpg,processed_images_training\1205_right_processed.png,Success,
fundus_images\1206_left.jpg,processed_images_training\1206_left_processed.png,Success,
fundus_images\1206_right.jpg,processed_images_training\1206_right_processed.png,Success,
fundus_images\1207_left.jpg,processed_images_training\1207_left_processed.png,Success,
fundus_images\1207_right.jpg,processed_images_training\1207_right_processed.png,Success,
fundus_images\1209_left.jpg,processed_images_training\1209_left_processed.png,Success,
fundus_images\1209_right.jpg,processed_images_training\1209_right_processed.png,Success,
fundus_images\120_left.jpg,processed_images_training\120_left_processed.png,Success,
fundus_images\120_right.jpg,processed_images_training\120_right_processed.png,Success,
fundus_images\1210_left.jpg,processed_images_training\1210_left_processed.png,Success,
fundus_images\1210_right.jpg,processed_images_training\1210_right_processed.png,Success,
fundus_images\1211_left.jpg,processed_images_training\1211_left_processed.png,Success,
fundus_images\1211_right.jpg,processed_images_training\1211_right_processed.png,Success,
fundus_images\1212_left.jpg,processed_images_training\1212_left_processed.png,Success,
fundus_images\1212_right.jpg,processed_images_training\1212_right_processed.png,Success,
fundus_images\1213_left.jpg,processed_images_training\1213_left_processed.png,Success,
fundus_images\1213_right.jpg,processed_images_training\1213_right_processed.png,Success,
fundus_images\1214_left.jpg,processed_images_training\1214_left_processed.png,Success,
fundus_images\1214_right.jpg,processed_images_training\1214_right_processed.png,Success,
fundus_images\1215_left.jpg,processed_images_training\1215_left_processed.png,Success,
fundus_images\1215_right.jpg,processed_images_training\1215_right_processed.png,Success,
fundus_images\1216_left.jpg,processed_images_training\1216_left_processed.png,Success,
fundus_images\1216_right.jpg,processed_images_training\1216_right_processed.png,Success,
fundus_images\1217_left.jpg,processed_images_training\1217_left_processed.png,Success,
fundus_images\1217_right.jpg,processed_images_training\1217_right_processed.png,Success,
fundus_images\1218_left.jpg,processed_images_training\1218_left_processed.png,Success,
fundus_images\1218_right.jpg,processed_images_training\1218_right_processed.png,Success,
fundus_images\1219_left.jpg,processed_images_training\1219_left_processed.png,Success,
fundus_images\1219_right.jpg,processed_images_training\1219_right_processed.png,Success,
fundus_images\121_left.jpg,processed_images_training\121_left_processed.png,Success,
fundus_images\121_right.jpg,processed_images_training\121_right_processed.png,Success,
fundus_images\1220_left.jpg,processed_images_training\1220_left_processed.png,Success,
fundus_images\1220_right.jpg,processed_images_training\1220_right_processed.png,Success,
fundus_images\1221_left.jpg,processed_images_training\1221_left_processed.png,Success,
fundus_images\1221_right.jpg,processed_images_training\1221_right_processed.png,Success,
fundus_images\1222_left.jpg,processed_images_training\1222_left_processed.png,Success,
fundus_images\1222_right.jpg,processed_images_training\1222_right_processed.png,Success,
fundus_images\1225_left.jpg,processed_images_training\1225_left_processed.png,Success,
fundus_images\1225_right.jpg,processed_images_training\1225_right_processed.png,Success,
fundus_images\1226_left.jpg,processed_images_training\1226_left_processed.png,Success,
fundus_images\1226_right.jpg,processed_images_training\1226_right_processed.png,Success,
fundus_images\1227_left.jpg,processed_images_training\1227_left_processed.png,Success,
fundus_images\1227_right.jpg,processed_images_training\1227_right_processed.png,Success,
fundus_images\1228_left.jpg,processed_images_training\1228_left_processed.png,Success,
fundus_images\1229_left.jpg,processed_images_training\1229_left_processed.png,Success,
fundus_images\1229_right.jpg,processed_images_training\1229_right_processed.png,Success,
fundus_images\122_left.jpg,processed_images_training\122_left_processed.png,Success,
fundus_images\122_right.jpg,processed_images_training\122_right_processed.png,Success,
fundus_images\1230_left.jpg,processed_images_training\1230_left_processed.png,Success,
fundus_images\1230_right.jpg,processed_images_training\1230_right_processed.png,Success,
fundus_images\1231_left.jpg,processed_images_training\1231_left_processed.png,Success,
fundus_images\1231_right.jpg,processed_images_training\1231_right_processed.png,Success,
fundus_images\1232_left.jpg,processed_images_training\1232_left_processed.png,Success,
fundus_images\1232_right.jpg,processed_images_training\1232_right_processed.png,Success,
fundus_images\1234_left.jpg,processed_images_training\1234_left_processed.png,Success,
fundus_images\1234_right.jpg,processed_images_training\1234_right_processed.png,Success,
fundus_images\1237_left.jpg,processed_images_training\1237_left_processed.png,Success,
fundus_images\1237_right.jpg,processed_images_training\1237_right_processed.png,Success,
fundus_images\1238_left.jpg,processed_images_training\1238_left_processed.png,Success,
fundus_images\1238_right.jpg,processed_images_training\1238_right_processed.png,Success,
fundus_images\1239_left.jpg,processed_images_training\1239_left_processed.png,Success,
fundus_images\1239_right.jpg,processed_images_training\1239_right_processed.png,Success,
fundus_images\123_left.jpg,processed_images_training\123_left_processed.png,Success,
fundus_images\123_right.jpg,processed_images_training\123_right_processed.png,Success,
fundus_images\1240_left.jpg,processed_images_training\1240_left_processed.png,Success,
fundus_images\1240_right.jpg,processed_images_training\1240_right_processed.png,Success,
fundus_images\1241_left.jpg,processed_images_training\1241_left_processed.png,Success,
fundus_images\1241_right.jpg,processed_images_training\1241_right_processed.png,Success,
fundus_images\1242_right.jpg,processed_images_training\1242_right_processed.png,Success,
fundus_images\1243_right.jpg,processed_images_training\1243_right_processed.png,Success,
fundus_images\1245_left.jpg,processed_images_training\1245_left_processed.png,Success,
fundus_images\1245_right.jpg,processed_images_training\1245_right_processed.png,Success,
fundus_images\1246_left.jpg,processed_images_training\1246_left_processed.png,Success,
fundus_images\1246_right.jpg,processed_images_training\1246_right_processed.png,Success,
fundus_images\1247_left.jpg,processed_images_training\1247_left_processed.png,Success,
fundus_images\1247_right.jpg,processed_images_training\1247_right_processed.png,Success,
fundus_images\1248_left.jpg,processed_images_training\1248_left_processed.png,Success,
fundus_images\1248_right.jpg,processed_images_training\1248_right_processed.png,Success,
fundus_images\124_left.jpg,processed_images_training\124_left_processed.png,Success,
fundus_images\1250_left.jpg,processed_images_training\1250_left_processed.png,Success,
fundus_images\1250_right.jpg,processed_images_training\1250_right_processed.png,Success,
fundus_images\1251_left.jpg,processed_images_training\1251_left_processed.png,Success,
fundus_images\1251_right.jpg,processed_images_training\1251_right_processed.png,Success,
fundus_images\1253_left.jpg,processed_images_training\1253_left_processed.png,Success,
fundus_images\1253_right.jpg,processed_images_training\1253_right_processed.png,Success,
fundus_images\1254_right.jpg,processed_images_training\1254_right_processed.png,Success,
fundus_images\1255_left.jpg,processed_images_training\1255_left_processed.png,Success,
fundus_images\1255_right.jpg,processed_images_training\1255_right_processed.png,Success,
fundus_images\1256_left.jpg,processed_images_training\1256_left_processed.png,Success,
fundus_images\1256_right.jpg,processed_images_training\1256_right_processed.png,Success,
